# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri May  7 10:26:44 2021
#
# CONSTRAINT:  where (ismostprecise = 1)
#
# COLUMN username:       Input Target
# COLUMN defaultname:    Archive Planet Name
# COLUMN sourcetable:    Data Source
# COLUMN planetname:     Data Source Planet Name
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN obsname:        Observatory Name
# COLUMN obslat:         Observatory Latitude [degrees north]
# COLUMN obslon:         Observatory Longitude [degrees east]
# COLUMN reflink:        Reference
# COLUMN algorithm:      Algorithm
# COLUMN isdefault:      Default Parameters Flag
# COLUMN ismostprecise:  Most-Precise Flag
# COLUMN phase:          Phase
# COLUMN period:         Period [days]
# COLUMN transitduration: Transit Duration [hours]
# COLUMN transitdepthdb: Transit Depth - Measured [percent]
# COLUMN transitdepthcalc: Transit Depth - Calculated [percent]
# COLUMN ttv:            TTV flag
# COLUMN onesigmawindowstartcalendar: 1 sigma Event Window Start Calendar UT
# COLUMN onesigmawindowstartjd: 1 sigma Event Window Start JD UT [days]
# COLUMN onesigmawindowstartairmass: Airmass at 1 sigma Event Window Start
# COLUMN onesigmawindowstartaltitude: Altitude at 1 sigma Event Window Start [degrees]
# COLUMN onesigmawindowstartazimuth: Azimuth at 1 sigma Event Window Start [degrees]
# COLUMN ingresscalendar: Event Ingress Calendar UT
# COLUMN ingressjd:      Event Ingress JD UT [days]
# COLUMN ingressairmass: Event Ingress Airmass
# COLUMN ingressaltitude: Event Ingress Altitude [degrees]
# COLUMN ingressazimuth: Event Ingress Azimuth  [degrees]
# COLUMN midpointcalendar: Event Midpoint Calendar UT
# COLUMN midpointjd:     Event Midpoint JD UT [days]
# COLUMN propmidpointunc: Propagated Midpoint Uncertainty [days]
# COLUMN midpointairmass: Event Midpoint Airmass
# COLUMN midpointaltitude: Event Midpoint Altitude [degrees]
# COLUMN midpointazimuth: Event Midpoint Azimuth [degrees]
# COLUMN egresscalendar: Event Egress Calendar UT
# COLUMN egressjd:       Event Egress JD UT [days]
# COLUMN egressairmass:  Event Egress Airmass
# COLUMN egressaltitude: Event Egress Altitude [degrees]
# COLUMN egressazimuth:  Event Egress Azimuth [degrees]
# COLUMN onesigmawindowendcalendar: 1 sigma Event Window End Calendar UT
# COLUMN onesigmawindowendjd: 1 sigma Event Window End JD UT [days]
# COLUMN onesigmawindowendairmass: Airmass at 1 sigma Event Window End
# COLUMN onesigmawindowendaltitude: Altitude at 1 sigma Event Window End [degrees]
# COLUMN onesigmawindowendazimuth: Azimuth at 1 sigma Event Window End [degrees]
# COLUMN targetrisecalendar: Target Rise Calendar UT
# COLUMN targetrisejd:   Target Rise JD UT [days]
# COLUMN targetsetcalendar: Target Set Calendar UT
# COLUMN targetsetjd:    Target Set JD UT [days]
# COLUMN targetobsstartcalendar: Target Observability Start Calendar UT
# COLUMN targetobsstartjd: Target Observability Start JD UT [days]
# COLUMN targetobsendcalendar: Target Observability End Calendar UT
# COLUMN targetobsendjd: Target Observability End JD UT [days]
# COLUMN sunsetcalendar: Evening Twilight End Calendar UT
# COLUMN sunsetjd:       Evening Twilight End JD UT [days]
# COLUMN sunrisecalendar: Morning Twilight Start Calendar UT
# COLUMN sunrisejd:      Morning Twilight Start JD UT [days]
# COLUMN targetobsduration: Duration of Target Observability [hours]
# COLUMN durationbeforeevent: Duration Observable Before Event [hours]
# COLUMN durationafterevent: Duration Observable After Event [hours]
# COLUMN durationoutsideevent: Duration Observable Outside Event [hours]
# COLUMN durationinsideevent: Duration Observable Inside Event [hours]
# COLUMN fractionobservable: Event Fraction Observable
# COLUMN fractionoutsideevent: Observable Baseline Time/Event Duration
# COLUMN magnitude_visible: V-band (Johnson) [mag]
# COLUMN magnitude_gaia: G-band (Gaia) [mag]
# COLUMN magnitude_j:    J-band (2MASS) [mag]
# COLUMN magnitude_h:    H-band (2MASS) [mag]
# COLUMN magnitude_k:    Ks-band (2MASS) [mag]
#
username,defaultname,sourcetable,planetname,ra_str,ra,dec_str,dec,obsname,obslat,obslon,reflink,algorithm,isdefault,ismostprecise,phase,period,transitduration,transitdepthdb,transitdepthcalc,ttv,onesigmawindowstartcalendar,onesigmawindowstartjd,onesigmawindowstartairmass,onesigmawindowstartaltitude,onesigmawindowstartazimuth,ingresscalendar,ingressjd,ingressairmass,ingressaltitude,ingressazimuth,midpointcalendar,midpointjd,propmidpointunc,midpointairmass,midpointaltitude,midpointazimuth,egresscalendar,egressjd,egressairmass,egressaltitude,egressazimuth,onesigmawindowendcalendar,onesigmawindowendjd,onesigmawindowendairmass,onesigmawindowendaltitude,onesigmawindowendazimuth,targetrisecalendar,targetrisejd,targetsetcalendar,targetsetjd,targetobsstartcalendar,targetobsstartjd,targetobsendcalendar,targetobsendjd,sunsetcalendar,sunsetjd,sunrisecalendar,sunrisejd,targetobsduration,durationbeforeevent,durationafterevent,durationoutsideevent,durationinsideevent,fractionobservable,fractionoutsideevent,magnitude_visible,magnitude_gaia,magnitude_j,magnitude_h,magnitude_k
,Kepler-1582 b,Planetary Systems Planet Data,Kepler-1582 b,19h17m30.37s,289.376544,41d09m29.10s,41.158085,,,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,4.838149,,,0.000000,0,,,,,,,,,,,02/01/2010 21:49,2455229.40937,0.007845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.960000,16.414000,13.285000,12.694000,12.435000
,Kepler-1582 b,Planetary Systems Planet Data,Kepler-1582 b,19h17m30.37s,289.376544,41d09m29.10s,41.158085,,,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,4.838149,,,0.000000,0,,,,,,,,,,,02/06/2010 17:56,2455234.24752,0.007890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.960000,16.414000,13.285000,12.694000,12.435000
,Kepler-1582 b,Planetary Systems Planet Data,Kepler-1582 b,19h17m30.37s,289.376544,41d09m29.10s,41.158085,,,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,4.838149,,,0.000000,0,,,,,,,,,,,02/11/2010 14:03,2455239.08567,0.007936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.960000,16.414000,13.285000,12.694000,12.435000
,Kepler-1582 b,Planetary Systems Planet Data,Kepler-1582 b,19h17m30.37s,289.376544,41d09m29.10s,41.158085,,,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,4.838149,,,0.000000,0,,,,,,,,,,,02/16/2010 10:10,2455243.92382,0.007981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.960000,16.414000,13.285000,12.694000,12.435000
,Kepler-1582 b,Planetary Systems Planet Data,Kepler-1582 b,19h17m30.37s,289.376544,41d09m29.10s,41.158085,,,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,4.838149,,,0.000000,0,,,,,,,,,,,02/21/2010 06:17,2455248.76197,0.008026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.960000,16.414000,13.285000,12.694000,12.435000
,Kepler-1582 b,Planetary Systems Planet Data,Kepler-1582 b,19h17m30.37s,289.376544,41d09m29.10s,41.158085,,,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,4.838149,,,0.000000,0,,,,,,,,,,,02/26/2010 02:24,2455253.60012,0.008072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.960000,16.414000,13.285000,12.694000,12.435000
,Kepler-1582 b,Planetary Systems Planet Data,Kepler-1582 b,19h17m30.37s,289.376544,41d09m29.10s,41.158085,,,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,4.838149,,,0.000000,0,,,,,,,,,,,03/02/2010 22:31,2455258.43827,0.008117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.960000,16.414000,13.285000,12.694000,12.435000
,Kepler-1582 b,Planetary Systems Planet Data,Kepler-1582 b,19h17m30.37s,289.376544,41d09m29.10s,41.158085,,,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,4.838149,,,0.000000,0,,,,,,,,,,,03/07/2010 18:38,2455263.27642,0.008162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.960000,16.414000,13.285000,12.694000,12.435000
,Kepler-1582 b,Planetary Systems Planet Data,Kepler-1582 b,19h17m30.37s,289.376544,41d09m29.10s,41.158085,,,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,4.838149,,,0.000000,0,,,,,,,,,,,03/12/2010 14:44,2455268.11457,0.008208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.960000,16.414000,13.285000,12.694000,12.435000
,Kepler-1582 b,Planetary Systems Planet Data,Kepler-1582 b,19h17m30.37s,289.376544,41d09m29.10s,41.158085,,,,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,Transit Ephemeris,0,1,0.000000,4.838149,,,0.000000,0,,,,,,,,,,,03/17/2010 10:51,2455272.95272,0.008253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.960000,16.414000,13.285000,12.694000,12.435000
